catalog,index,address,command,source_name,enum_name
BGM,0x0,0209c860,0x00A01000,BGM_KASUMI2,BGM_KASUMI2
BGM,0x1,0209c880,0x00A01001,BGM_TINA,BGM_TINA
BGM,0x2,0209c8a0,0x00A01002,BGM_ZACK,BGM_ZACK
BGM,0x3,0209c8c0,0x00A01003,BGM_GENFU,BGM_GENFU
BGM,0x4,0209c8e0,0x00A01004,BGM_RYU,BGM_RYU
BGM,0x5,0209c900,0x00A01005,BGM_LEIFANG,BGM_LEIFANG
BGM,0x6,0209c920,0x00A01006,BGM_LOO,BGM_LOO
BGM,0x7,0209c940,0x00A01008,BGM_GATBY,BGM_GATBY
BGM,0x8,0209c960,0x00A0100A,BGM_OPENING,BGM_OPENING
BGM,0x9,0209c980,0x00A0100B,BGM_SELECT,BGM_SELECT
BGM,0xA,0209c9a0,0x00A0100C,BGM_APPEAL,BGM_APPEAL
BGM,0xB,0209c9c0,0x00A0100D,BGM_CONTI,BGM_CONTI
BGM,0xC,0209c9e0,0x00A0100E,BGM_NAME,BGM_NAME
BGM,0xD,0209ca00,0x00A01010,BGM_BOSS,BGM_BOSS
BGM,0xE,0209ca20,0x00A01011,BGM_STAFF,BGM_STAFF
BGM,0xF,0209ca40,0x00A01020,BGM_STGCLR,BGM_STGCLR
BGM,0x10,0209ca60,0x00A01021,BGM_LOGO,BGM_LOGO
SE,0x0,0209caa0,0x00A01100,SE_P_CNT,SE_P_CNT
SE,0x1,0209cac0,0x00A01101,SE_K_CNT,SE_K_CNT
SE,0x2,0209cae0,0x00A01102,SE_GUARD1,SE_GUARD1
SE,0x3,0209cb00,0x00A01106,SE_DOWN1,SE_DOWN1
SE,0x4,0209cb20,0x00A01107,SE_DOWN2,SE_DOWN2
SE,0x5,0209cb40,0x00A01108,SE_DOWN3,SE_DOWN3
SE,0x6,0209cb60,0x00A01109,SE_KNEE_DOWN,SE_KNEE_DOWN
SE,0x7,0209cb80,0x00A01119,SE_P_KAZE1,SE_P_KAZE1
SE,0x8,0209cba0,0x00A0111A,SE_P_KAZE2,SE_P_KAZE2
SE,0x9,0209cbc0,0x00A0111B,SE_P_KAZE3,SE_P_KAZE3
SE,0xA,0209cbe0,0x00A0111C,SE_P_KAZE4,SE_P_KAZE4
SE,0xB,0209cc00,0x00A0111D,SE_K_KAZE1,SE_K_KAZE1
SE,0xC,0209cc20,0x00A0111E,SE_K_KAZE2,SE_K_KAZE2
SE,0xD,0209cc40,0x00A0111F,SE_K_KAZE3,SE_K_KAZE3
SE,0xE,0209cc60,0x00A01120,SE_K_KAZE4,SE_K_KAZE4
SE,0xF,0209cc80,0x00A01121,SE_K_KAZE5,SE_K_KAZE5
SE,0x10,0209cca0,0x00A01122,SE_BINTA1,SE_BINTA1
SE,0x11,0209ccc0,0x00A01123,SE_BINTA2,SE_BINTA2
SE,0x12,0209cce0,0x00A01124,SE_PUNCH1,SE_PUNCH1
SE,0x13,0209cd00,0x00A01125,SE_PUNCH2,SE_PUNCH2
SE,0x14,0209cd20,0x00A01126,SE_KICK1,SE_KICK1
SE,0x15,0209cd40,0x00A01127,SE_KICK2,SE_KICK2
SE,0x16,0209cd60,0x00A01128,SE_TACKLE1,SE_TACKLE1
SE,0x17,0209cd80,0x00A01129,SE_TACKLE2,SE_TACKLE2
SE,0x18,0209cda0,0x00A0112A,SE_FALL_ATK,SE_FALL_ATK
SE,0x19,0209cdc0,0x00A0112B,SE_SUMMER,SE_SUMMER
SE,0x1A,0209cde0,0x00A0112C,SE_SINKYAKU,SE_SINKYAKU
SE,0x1B,0209ce00,0x00A0112D,SE_THROW1,SE_THROW1
SE,0x1C,0209ce20,0x00A0112E,SE_THROW2,SE_THROW2
SE,0x1D,0209ce40,0x00A0112F,SE_SUBMIT1,SE_SUBMIT1
SE,0x1E,0209ce60,0x00A01130,SE_SUBMIT2,SE_SUBMIT2
SE,0x1F,0209ce80,0x00A01133,SE_STOMP,SE_STOMP
SE,0x20,0209cea0,0x00A01135,SE_DOWN_LT,SE_DOWN_LT
SE,0x21,0209cec0,0x00A01136,SE_SONIC1,SE_SONIC1
SE,0x22,0209cee0,0x00A01137,SE_SONIC2,SE_SONIC2
SE,0x23,0209cf00,0x00A01138,SE_BANG,SE_BANG
SE,0x24,0209cf20,0x00A0113A,SE_JUMP1,SE_JUMP1
SE,0x25,0209cf40,0x00A0113B,SE_JUMP2,SE_JUMP2
SE,0x26,0209cf60,0x00A0113C,SE_CHAKUTI1,SE_CHAKUTI1
SE,0x27,0209cf80,0x00A0113D,SE_CHAKUTI2,SE_CHAKUTI2
SE,0x28,0209cfa0,0x00A0113F,SE_COIN,SE_COIN
SE,0x29,0209cfc0,0x00A01140,SE_START,SE_START
SE,0x2A,0209cfe0,0x00A01141,SE_CURSOL,SE_CURSOL
SE,0x2B,0209d000,0x00A01142,SE_NAME_ENT,SE_NAME_ENT
SE,0x2C,0209d020,0x00A01143,SE_TIMER,SE_TIMER
SE,0x2D,0209d040,0x00A01144,SE_KAMINARI,SE_KAMINARI
SE,0x2E,0209d060,0x00A01145,SE_BKTEN,SE_BKTEN
SE,0x2F,0209d080,0x00A01146,SE_KETTEI,SE_KETTEI
SE,0x30,0209d0a0,0x00A01150,SE_P_CNT1,SE_P_CNT1
SE,0x31,0209d0c0,0x00A01151,SE_K_CNT1,SE_K_CNT1
SE,0x32,0209d0e0,0x00A01152,SE_K_KAZE6,SE_K_KAZE6
SE,0x33,0209d100,0x00A01153,SE_K_KAZE7,SE_K_KAZE7
SE,0x34,0209d120,0x00A01154,SE_TSUKAMI,SE_TSUKAMI
SE,0x35,0209d140,0x00A01155,SE_BINTA3,SE_BINTA3
SE,0x36,0209d160,0x00A0120A,SE_READY,SE_READY
SE,0x37,0209d180,0x00A0120B,SE_KO,SE_KO
SE,0x38,0209d1a0,0x00A0120C,SE_TIMEUP,SE_TIMEUP
SE,0x39,0209d1c0,0x00A0120D,SE_RINGOUT,SE_RINGOUT
SE,0x3A,0209d1e0,0x00A0120E,SE_DRAW,SE_DRAW
SE,0x3B,0209d200,0x00A0120F,SE_GREAT,SE_GREAT
SE,0x3C,0209d220,0x00A01210,SE_WINNER,SE_WINNER
SE,0x3D,0209d240,0x00A01211,SE_YOU_LOSE,SE_YOU_LOSE
SE,0x3E,0209d260,0x00A01212,SE_GAMEOVER,SE_GAMEOVER
SE,0x3F,0209d280,0x00A01213,SE_CONTINUE,SE_CONTINUE
SE,0x40,0209d2a0,0x00A01214,SE_CONGRA,SE_CONGRA
