Address	"Length (dec)"	"Length (hex)"	Description	Value
00000000	1280	0500	header	4E414F4D492020202020202020202020
00000500	1860608	001C6400	"Main ROM (encrypted)"	7C6CDF65CFCA0DC9E5223F8E07A6213B
001C6900	77314	00012E02	"Boot ROM"	E62FD62FC62FB62FA62F962F224F27D3
001D9702	26878	68FE	padding	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
001E0000	30400	76C0	anime_cm.bin	08000000000000000A1000003E100000
001E76C0	59338	E7CA	zack.bin	84000000DC2D00005C0C0000E0180000
001F5EA0	57962	E26A	tina.bin	84000000E0310000240E0000FC170000
00204120	52442	CCDA	janlee.bin	84000000382A0000C40B000004170000
00210E00	64178	FAB2	ryu.bin	84000000BC3E0000C40E0000701A0000
002208C0	62102	F296	kasumi.bin	84000000B82E0000840D000034180000
0022FB60	49110	BFD6	genfu.bin	8400000030280000EC0B0000EC140000
0023BB40	55926	DA76	bayman.bin	840000006C2E0000A40D0000EC160000
002495C0	56130	DB42	leifang.bin	84000000EC2B00009C0C0000DC170000
00257120	63642	F89A	ayane.bin	840000007C3100005C0D0000DC1A0000
002669C0	61766	F146	hika.bin	84000000FC330000B40D0000DC1E0000
00275B20	54550	D516	karate.bin	84000000E42C00003C0C000098190000
00283040	46130	B432	tengu.bin	84000000781B0000FC090000C00F0000
0028E480	58898	E612	bass.bin	84000000E42E0000140E000038170000
0029CAA0	6278	1886	mama.bin	84000000000000000000000000000000
0029E340	6278	1886	loran.bin	84000000000000000000000000000000
0029FBE0	6268	187C	wakabass.bin	84000000000000000000000000000000
002A1460	400	0190	ep_cm.adt	441900004419000024C6140044190000
002A1600	400	0190	ep_kl.adt	44BE1400605100006051000060510000
002A17A0	400	0190	ep_tn.adt	DC2A000054A31B0094BD1B001CC41B00
002A1940	400	0190	ep_lu.adt	641B0000641B0000349013002CC11300
002A1AE0	400	0190	ep_kt.adt	90111200AC1F1200CC2E120038641200
002A1C80	400	0190	ep_km.adt	E823180090541800C81E0000885F1800
002A1E20	400	0190	ep_ks.adt	B05B1A00086C1A0038781A0084891A00
002A1FC0	400	0190	ep_fa.adt	0CD913008C3300008C3300008C330000
002A2160	400	0190	ep_hi.adt	AC5817009C621700E06C170010801700
002A2300	400	0190	ep_gy.adt	D42D000088BF1B004CD01B00101D1C00
002A24A0	400	0190	ep_ba.adt	D8C51C00002800000028000000280000
002A2640	400	0190	ep_le.adt	4C441B0034521B00EC831B00B8871B00
002A27E0	400	0190	ep_ay.adt	C8B21500E0230000E0230000E0230000
002A2980	400	0190	ep_tg.adt	643C0000643C0000643C0000643C0000
002A2B20	53944	D2B8	ep_cm.mot	44190000441900004419000044190000
