Name,Location,Type,Namespace,Source,Reference Count,Offcut Ref Count
start,8c010000,Function,Global,User Defined,1,0
FUN_8c012314,8c012314,Function,Global,Default,1,0
FUN_8c012cc6,8c012cc6,Function,Global,Default,1,0
FUN_8c012df0,8c012df0,Function,Global,Default,1,0
thunk_FUN_8c014204,8c012e28,Thunk Function,Global,Default,0,0
Password_Unlock_Handler,8c012e2e,Function,Global,User Defined,22,0
Check_Next_Byte,8c012e3c,Instruction Label,Global,User Defined,1,0
Continue_Validation,8c012e48,Instruction Label,Global,User Defined,1,0
Match_Found,8c012e4e,Instruction Label,Global,User Defined,1,0
Handle_State_Update,8c012e54,Instruction Label,Global,User Defined,1,0
Update_State_Flag,8c012e64,Instruction Label,Global,User Defined,1,0
Exit_State_Update,8c012e6a,Instruction Label,Global,User Defined,1,0
FUN_8c012ef4,8c012ef4,Function,Global,Default,5,0
FUN_8c013030,8c013030,Function,Global,Default,2,0
FUN_8c013194,8c013194,Function,Global,Default,1,0
FUN_8c0132a6,8c0132a6,Function,Global,Default,3,0
FUN_8c013314,8c013314,Function,Global,Default,2,0
FUN_8c01332c,8c01332c,Function,Global,Default,34,0
FUN_8c013332,8c013332,Function,Global,Default,0,0
FUN_8c01333c,8c01333c,Function,Global,Default,2,0
FUN_8c013340,8c013340,Function,Global,Default,17,0
FUN_8c013344,8c013344,Function,Global,Default,2,0
FUN_8c013378,8c013378,Function,Global,Default,62,0
FUN_8c0133b4,8c0133b4,Function,Global,Default,2,0
ControlAudioPlaybackState,8c0133c2,Function,Global,User Defined,133,0
FUN_8c0134be,8c0134be,Function,Global,Default,14,0
FUN_8c01368c,8c01368c,Function,Global,Default,3,0
FUN_8c0137c8,8c0137c8,Function,Global,Default,3,0
FUN_8c0138c6,8c0138c6,Function,Global,Default,2,0
FUN_8c0138f8,8c0138f8,Function,Global,Default,13,0
switchD,8c013924,Instruction Label,switchD_8c013924,Analysis,0,0
switchdataD_8c013934,8c013934,Data Label,switchD_8c013924,Analysis,2,0
caseD_b,8c01397c,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_d,8c013980,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_a,8c013984,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_1,8c013988,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_c,8c01398c,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_6,8c013990,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_7,8c013994,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_11,8c013998,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_f,8c01399c,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_3,8c0139a0,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_2,8c0139a4,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_5,8c0139a8,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_22,8c0139ae,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_23,8c0139b2,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_10,8c0139b6,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_19,8c0139bc,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_17,8c0139c2,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_1a,8c0139c8,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_24,8c0139ce,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_21,8c0139d4,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_12,8c0139da,Instruction Label,switchD_8c013924,Analysis,1,0
caseD_13,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
caseD_14,8c0139e0,Instruction Label,switchD_8c013924,Analysis,0,0
