file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_BAS.BIN,0,string_pack,0,コンボゴング,Combo Gong,,,,
MES_ARTS_BAS.BIN,0,string_pack,1,コンボハンマー,Combo Hammer,,,,
MES_ARTS_BAS.BIN,0,string_pack,2,コンボハイキック,Combo High Kick,,,,
MES_ARTS_BAS.BIN,0,string_pack,3,コンボトリプルヒット,Combo Triple Hit,,,,
MES_ARTS_BAS.BIN,0,string_pack,4,コンボキックラッシュ,Combo Kick Rush,,,,
MES_ARTS_BAS.BIN,0,string_pack,5,ワイルドスイング,Wild Swing,,,,
MES_ARTS_BAS.BIN,0,string_pack,6,コンボストンプキック,Combo Stomp Kick,,,,
MES_ARTS_BAS.BIN,0,string_pack,7,エルボーラッシュ,Elbow Rush,,,,
MES_ARTS_BAS.BIN,0,string_pack,8,エルボーゴング,Elbow Gong,,,,
MES_ARTS_BAS.BIN,0,string_pack,9,エルボーハンマー,Elbow Hammer,,,,
MES_ARTS_BAS.BIN,0,string_pack,10,エルボーストンプコンボ,Elbow Stomp Combo,,,,
MES_ARTS_BAS.BIN,0,string_pack,11,スタンガンチョップ,Stun Gun Chop,,,,
MES_ARTS_BAS.BIN,0,string_pack,12,ヘルスマッシャー,Hell Smasher,,,,
MES_ARTS_BAS.BIN,0,string_pack,13,ワンハンドハンマー,One Hand Hammer,,,,
MES_ARTS_BAS.BIN,0,string_pack,14,モンゴルヘッドバット,Mongolia Head Butt,,,,
MES_ARTS_BAS.BIN,0,string_pack,15,スロートストライク,Throat Strike,,,,
MES_ARTS_BAS.BIN,0,string_pack,16,パワーゴング,Power Gong,,,,
MES_ARTS_BAS.BIN,0,string_pack,17,ゴングヘルコンボ,Gong Hell Combo,,,,
MES_ARTS_BAS.BIN,0,string_pack,18,ザ・マッスルマン,The Muscle Man,,,,
MES_ARTS_BAS.BIN,0,string_pack,19,スマッシュゴング,Smash Gong,,,,
MES_ARTS_BAS.BIN,0,string_pack,20,バッファローレイジ,Buffalo Rage,,,,
MES_ARTS_BAS.BIN,0,string_pack,21,ローリングヘルスマッシャー,Rolling Hell Smasher,,,,
MES_ARTS_BAS.BIN,0,string_pack,22,ダイビングハンマー,Diving Hammer,,,,
MES_ARTS_BAS.BIN,0,string_pack,23,ローリングアックス,Rolling Axe,,,,
MES_ARTS_BAS.BIN,0,string_pack,24,フライングボディプレス,Flying Body Press,,,,
MES_ARTS_BAS.BIN,0,string_pack,25,ニーハンマー,Knee Hammer,,,,
MES_ARTS_BAS.BIN,0,string_pack,26,ニーデストロイヤー,Knee Destroyer,,,,
MES_ARTS_BAS.BIN,0,string_pack,27,ジャンピングニー,Jumping Knee,,,,
MES_ARTS_BAS.BIN,0,string_pack,28,ハイストンプキック,High Stomp Kick,,,,
