file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_BRA.BIN,0,string_pack,0,転身肘,Tenshin-Chu,,,,
MES_ARTS_BRA.BIN,0,string_pack,1,連撃・独起脚,Ren-Dokki,,,,
MES_ARTS_BRA.BIN,0,string_pack,2,連撃・旋風脚,Ren-Senpu,,,,
MES_ARTS_BRA.BIN,0,string_pack,3,連撃・独立歩,Ren-Dokuritsu,,,,
MES_ARTS_BRA.BIN,0,string_pack,4,連撃・倒身弾腿,Ren-Toshin,,,,
MES_ARTS_BRA.BIN,0,string_pack,5,跌叉,Tessa,,,,
MES_ARTS_BRA.BIN,0,string_pack,6,月牙連挑,Getsuga-Rencho,,,,
MES_ARTS_BRA.BIN,0,string_pack,7,括面腿,Katsumen-Tai,,,,
MES_ARTS_BRA.BIN,0,string_pack,8,連鈎手,Ren-Koshu,,,,
MES_ARTS_BRA.BIN,0,string_pack,9,旋身月牙,Senshin-Getsuga,,,,
MES_ARTS_BRA.BIN,0,string_pack,10,双鈎跳撃,Soko-Chogeki,,,,
MES_ARTS_BRA.BIN,0,string_pack,11,連挑腕,Ren-Chowan,,,,
MES_ARTS_BRA.BIN,0,string_pack,12,弓歩頭打,Kyuho-Toda,,,,
MES_ARTS_BRA.BIN,0,string_pack,13,酔歩頂撃,Suiho-Chogeki,,,,
MES_ARTS_BRA.BIN,0,string_pack,14,躍座連鈎手,Yakuza-Ren-Koshu,,,,
MES_ARTS_BRA.BIN,0,string_pack,15,歇歩側倒腿,Keppo-Sokuto,,,,
MES_ARTS_BRA.BIN,0,string_pack,16,歇歩翻身弾腿,Keppo-Honshin-Dantai,,,,
MES_ARTS_BRA.BIN,0,string_pack,17,連環側倒腿,Ren-Sokuto,,,,
MES_ARTS_BRA.BIN,0,string_pack,18,連環翻身弾腿,Ren-Honshin-Dantai,,,,
MES_ARTS_BRA.BIN,0,string_pack,19,虎爪,Koso,,,,
MES_ARTS_BRA.BIN,0,string_pack,20,何仙姑・肘打,"Kasenko, Chuda",,,,
MES_ARTS_BRA.BIN,0,string_pack,21,何仙姑・退歩肘打,"Kasenko, Taiho-Chuda",,,,
MES_ARTS_BRA.BIN,0,string_pack,22,何仙姑・連肘打,"Kasenko, Ren-Chuda",,,,
MES_ARTS_BRA.BIN,0,string_pack,23,何仙姑・退歩連肘打,"Kasenko, Taiho-Ren-Chuda",,,,
MES_ARTS_BRA.BIN,0,string_pack,24,何仙姑・双拍,"Kasenko, Sohaku",,,,
MES_ARTS_BRA.BIN,0,string_pack,25,何仙姑・湘子吹笛,"Kasenko, Shoshi-Suiteki",,,,
MES_ARTS_BRA.BIN,0,string_pack,26,何仙姑・旋風脚,"Kasenko, Senpu-Kyaku",,,,
MES_ARTS_BRA.BIN,0,string_pack,27,何仙姑・滾剪腿,"Kasenko, Konsen-Tai",,,,
MES_ARTS_BRA.BIN,0,string_pack,28,旋身跳頭打,Senshin-Choto,,,,
MES_ARTS_BRA.BIN,0,string_pack,29,翻身上隔前撃,Honshin-Jokaku-Zengeki,,,,
MES_ARTS_BRA.BIN,0,string_pack,30,側旋月牙叉手,Sokusen-Getsuga,,,,
MES_ARTS_BRA.BIN,0,string_pack,31,連環後蹴腿,Ren-Koshutai,,,,
MES_ARTS_BRA.BIN,0,string_pack,32,連環後掃腿,Renkan-Kosotai,,,,
MES_ARTS_BRA.BIN,0,string_pack,33,旋風跟・前空翻跌,"Senpu, Zenku",,,,
MES_ARTS_BRA.BIN,0,string_pack,34,連独起脚,Ren-Dokuki-Kyaku,,,,
MES_ARTS_BRA.BIN,0,string_pack,35,前踢・旋風脚,"Zenteki, Senpu-Kyaku",,,,
MES_ARTS_BRA.BIN,0,string_pack,36,前踢・連挑腕,"Zenteki, Ren-Chowan",,,,
MES_ARTS_BRA.BIN,0,string_pack,37,飛酔旋脚,Hisui-Senkyaku,,,,
MES_ARTS_BRA.BIN,0,string_pack,38,二起脚,Niki-Kyaku,,,,
MES_ARTS_BRA.BIN,0,string_pack,39,退身前空翻跌,Taishin-Zenku-Hontetsu,,,,
MES_ARTS_BRA.BIN,0,string_pack,40,単腿蹲・湘子吹笛,"Tantai, Shoshi-Suiteki",,,,
MES_ARTS_BRA.BIN,0,string_pack,41,単腿蹲・旋風脚,"Tantai, Senpu",,,,
MES_ARTS_BRA.BIN,0,string_pack,42,滾剪腿,Konsen-Tai,,,,
MES_ARTS_BRA.BIN,0,string_pack,43,前掃腿,Zenso-Tai,,,,
MES_ARTS_BRA.BIN,0,string_pack,44,連環後翻腿,Ren-Kohontai,,,,
MES_ARTS_BRA.BIN,0,string_pack,45,連環撲虎,Renkan-Bokko,,,,
MES_ARTS_BRA.BIN,0,string_pack,46,穿腿坐地,Sentai-Zachi,,,,
MES_ARTS_BRA.BIN,0,string_pack,47,倒身弾腿,Toshin-Dantai,,,,
MES_ARTS_BRA.BIN,0,string_pack,48,后跳双踢・後翻腿,"Kocho-Soteki, Kohon",,,,
MES_ARTS_BRA.BIN,0,string_pack,49,后跳双踢・撲虎,"Kocho-Soteki, Bokko",,,,
MES_ARTS_BRA.BIN,0,string_pack,50,連軸線崩,Ren-Jikusenho,,,,
MES_ARTS_BRA.BIN,0,string_pack,51,鈎手,Koshu,,,,
MES_ARTS_BRA.BIN,0,string_pack,52,双拍,Sohaku,,,,
MES_ARTS_BRA.BIN,0,string_pack,53,退歩月牙叉手,Taiho-Getsuga,,,,
MES_ARTS_BRA.BIN,0,string_pack,54,後鷹月牙,Koyo-Getsuga,,,,
MES_ARTS_BRA.BIN,0,string_pack,55,連環天地掃腿,Renkan-Tenchi-Sotai,,,,
MES_ARTS_BRA.BIN,0,string_pack,56,連双側旋月牙,Renso-Sokusen-Getsuga,,,,
MES_ARTS_BRA.BIN,0,string_pack,57,連双天地掃腿,Renso-Tenchi-Sotai,,,,
