file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_GEN.BIN,0,string_pack,0,撑掌,To-Sho,,,,
MES_ARTS_GEN.BIN,0,string_pack,1,連捶単把,Rensui-Tanpa,,,,
MES_ARTS_GEN.BIN,0,string_pack,2,白蛇連捶,Hakuja-Rensui,,,,
MES_ARTS_GEN.BIN,0,string_pack,3,高弾腿,Kodan-Tai,,,,
MES_ARTS_GEN.BIN,0,string_pack,4,連捶前掃腿,Rensui-Zenso,,,,
MES_ARTS_GEN.BIN,0,string_pack,5,虎抱頭,Kohoto,,,,
MES_ARTS_GEN.BIN,0,string_pack,6,盤肘・丹鳳朝陽・虎蹲山,"Banchu, Tanho, Kosonzan",,,,
MES_ARTS_GEN.BIN,0,string_pack,7,盤鳳鷂形,Ban-Ho-Yokei,,,,
MES_ARTS_GEN.BIN,0,string_pack,8,懐抱頑石・鷹捉把,"Kaiho, Yosoku",,,,
MES_ARTS_GEN.BIN,0,string_pack,9,懐抱頑石・双推把・双把,"Kaiho, Sosui, Soha",,,,
MES_ARTS_GEN.BIN,0,string_pack,10,丹鳳朝陽・虎蹲山,"Tanho, Kosonzan",,,,
MES_ARTS_GEN.BIN,0,string_pack,11,挑領,Choryo,,,,
MES_ARTS_GEN.BIN,0,string_pack,12,白蛇翻捶,Hakuja-Honsui,,,,
MES_ARTS_GEN.BIN,0,string_pack,13,単把,Tanpa,,,,
MES_ARTS_GEN.BIN,0,string_pack,14,跳起熊捉,Choki-Yusoku,,,,
MES_ARTS_GEN.BIN,0,string_pack,15,虎蹲山,Kosonzan,,,,
MES_ARTS_GEN.BIN,0,string_pack,16,鷹捉把,Yosokuha,,,,
MES_ARTS_GEN.BIN,0,string_pack,17,烏牛擺頭,Ugyu-Haito,,,,
MES_ARTS_GEN.BIN,0,string_pack,18,横襲虎爪把,Oshu-Kosoha,,,,
MES_ARTS_GEN.BIN,0,string_pack,19,箭疾歩,Sen-Shippo,,,,
MES_ARTS_GEN.BIN,0,string_pack,20,箭歩,Senpo,,,,
MES_ARTS_GEN.BIN,0,string_pack,21,鷂形,Yokei,,,,
MES_ARTS_GEN.BIN,0,string_pack,22,半旋風,Han-Senpu,,,,
MES_ARTS_GEN.BIN,0,string_pack,23,旋風前掃腿,Senpu-Zenso-Tai,,,,
MES_ARTS_GEN.BIN,0,string_pack,24,転身後蹴腿,Tenshin-Koshu-Tai,,,,
MES_ARTS_GEN.BIN,0,string_pack,25,側踹脚,Sokutan-Kyaku,,,,
MES_ARTS_GEN.BIN,0,string_pack,26,鶏腿・半旋風,"Keitai, Han-Senpu",,,,
MES_ARTS_GEN.BIN,0,string_pack,27,旋龍把,Senryu-Ha,,,,
MES_ARTS_GEN.BIN,0,string_pack,28,盧崇鷹観山,Rosu-Yokanzan,,,,
