file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_HTM.BIN,0,string_pack,0,連風塵,Ren-Fujin,,,,
MES_ARTS_HTM.BIN,0,string_pack,1,連溜揚突き,Renryu-Age-Zuki,,,,
MES_ARTS_HTM.BIN,0,string_pack,2,霧鐘,Musho,,,,
MES_ARTS_HTM.BIN,0,string_pack,3,東雲,Shinonome,,,,
MES_ARTS_HTM.BIN,0,string_pack,4,屍山血河,Shizan-Ketsuga,,,,
MES_ARTS_HTM.BIN,0,string_pack,5,震天動地,Shinten-Dochi,,,,
MES_ARTS_HTM.BIN,0,string_pack,6,連手上段後ろ回し蹴り,Renshu-Jodan-Ushiro-Mawashi,,,,
MES_ARTS_HTM.BIN,0,string_pack,7,連突き・払い蹴り,Renzuki-Harai,,,,
MES_ARTS_HTM.BIN,0,string_pack,8,朱雀,Suzaku,,,,
MES_ARTS_HTM.BIN,0,string_pack,9,竜尾,Ryubi,,,,
MES_ARTS_HTM.BIN,0,string_pack,10,葉陰・暁鐘,"Hakage, Gyosho",,,,
MES_ARTS_HTM.BIN,0,string_pack,11,葉陰・暁闇,"Hakage, Akatoki-Yami",,,,
MES_ARTS_HTM.BIN,0,string_pack,12,突き・連蹴り,"Tsuki, Ren-Geri",,,,
MES_ARTS_HTM.BIN,0,string_pack,13,掌底打,Shotei-Da,,,,
MES_ARTS_HTM.BIN,0,string_pack,14,神居,Kamui,,,,
MES_ARTS_HTM.BIN,0,string_pack,15,光芒一閃,Kobo-Issen,,,,
MES_ARTS_HTM.BIN,0,string_pack,16,沖津風,Okitsukaze,,,,
MES_ARTS_HTM.BIN,0,string_pack,17,黄塵万丈,Kojin-Banjo,,,,
MES_ARTS_HTM.BIN,0,string_pack,18,中段後ろ回し蹴り,Chudan-Ushiro-Mawashi,,,,
MES_ARTS_HTM.BIN,0,string_pack,19,草薙,Kusanagi,,,,
MES_ARTS_HTM.BIN,0,string_pack,20,揚げ突き掌底,Age-Zuki-Shotei,,,,
MES_ARTS_HTM.BIN,0,string_pack,21,背�,Haito,,,,
MES_ARTS_HTM.BIN,0,string_pack,22,猿臂・暁鐘,"Enpi, Gyosho",,,,
MES_ARTS_HTM.BIN,0,string_pack,23,猿臂・暁闇,"Enpi, Akatoki-Yami",,,,
MES_ARTS_HTM.BIN,0,string_pack,24,猿臂連携踵落とし,Enpi-Renkei-Kakato,,,,
MES_ARTS_HTM.BIN,0,string_pack,25,猿臂踵薙ぎ,Enpi-Kakato-Nagi,,,,
MES_ARTS_HTM.BIN,0,string_pack,26,鎌返し,Kama-Gaeshi,,,,
MES_ARTS_HTM.BIN,0,string_pack,27,日向,Hyuga,,,,
MES_ARTS_HTM.BIN,0,string_pack,28,紫煙,Shien,,,,
MES_ARTS_HTM.BIN,0,string_pack,29,薫風,Kunpu,,,,
MES_ARTS_HTM.BIN,0,string_pack,30,天涯,Tengai,,,,
MES_ARTS_HTM.BIN,0,string_pack,31,乾坤一擲,Kenkon-Itteki,,,,
MES_ARTS_HTM.BIN,0,string_pack,32,連天路,Ren-Tenro,,,,
MES_ARTS_HTM.BIN,0,string_pack,33,鈎手・横蹴り,"Kagite, Yoko-Geri",,,,
MES_ARTS_HTM.BIN,0,string_pack,34,鈎手・踵薙ぎ,"Kagite, Kakato-Nagi",,,,
