file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_KAS.BIN,0,string_pack,0,避天刃,Hitenjin,,,,
MES_ARTS_KAS.BIN,0,string_pack,1,連界央襲陣,Ren-Kaio-Shujin,,,,
MES_ARTS_KAS.BIN,0,string_pack,2,連界央炎舞,Ren-Kaio-Enbu,,,,
MES_ARTS_KAS.BIN,0,string_pack,3,連界幻落脚,Renkai-Genraku,,,,
MES_ARTS_KAS.BIN,0,string_pack,4,連光裂空牙,Renko-Rekkuga,,,,
MES_ARTS_KAS.BIN,0,string_pack,5,連光裏襲斬,Renko-Rishu,,,,
MES_ARTS_KAS.BIN,0,string_pack,6,連光虚襲斬,Renko-Kyoshu,,,,
MES_ARTS_KAS.BIN,0,string_pack,7,連光回天肘,Renko-Kaiten-Chu,,,,
MES_ARTS_KAS.BIN,0,string_pack,8,連光回天双,Renko-Kaiten-So,,,,
MES_ARTS_KAS.BIN,0,string_pack,9,連光幻落脚,Renko-Genraku,,,,
MES_ARTS_KAS.BIN,0,string_pack,10,連突白鷺脚,Renzuki-Hakuro-Kyaku,,,,
MES_ARTS_KAS.BIN,0,string_pack,11,連突白鷺閃,Renzuki-Hakuro-Sen,,,,
MES_ARTS_KAS.BIN,0,string_pack,12,連突朱鷺封神,Renzuki-Toki-Hoshin,,,,
MES_ARTS_KAS.BIN,0,string_pack,13,連月砕,Ren-Getsusai,,,,
MES_ARTS_KAS.BIN,0,string_pack,14,連炎月,Ren-Engetsu,,,,
MES_ARTS_KAS.BIN,0,string_pack,15,連炎舞,Ren-Enbu,,,,
MES_ARTS_KAS.BIN,0,string_pack,16,連月露,Ren-Getsuro,,,,
MES_ARTS_KAS.BIN,0,string_pack,17,連突風渦閃,Renzuki-Fukasen,,,,
MES_ARTS_KAS.BIN,0,string_pack,18,天刃・葛城,"Tenjin, Katsuragi",,,,
MES_ARTS_KAS.BIN,0,string_pack,19,天刃・連払脚,"Tenjin, Renko",,,,
MES_ARTS_KAS.BIN,0,string_pack,20,天刃・旋封神,"Tenjin, Senpujin",,,,
MES_ARTS_KAS.BIN,0,string_pack,21,天刃・連轟脚,"Tenjin, Rengo",,,,
MES_ARTS_KAS.BIN,0,string_pack,22,天刃・霞蹴り,"Tenjin, Kasumi-Geri",,,,
