file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_KOK.BIN,0,string_pack,0,衝天掌,Shoten-Sho,,,,
MES_ARTS_KOK.BIN,0,string_pack,1,単翼頂,Tanyoku-Cho,,,,
MES_ARTS_KOK.BIN,0,string_pack,2,順歩起捶,Junho-Kisui,,,,
MES_ARTS_KOK.BIN,0,string_pack,3,順歩連腿,Junho-Rentai,,,,
MES_ARTS_KOK.BIN,0,string_pack,4,盤提連推,Bantei-Rensui,,,,
MES_ARTS_KOK.BIN,0,string_pack,5,盤提昇華脚,Bantei-Shoka,,,,
MES_ARTS_KOK.BIN,0,string_pack,6,神槍反そう胯,Shinso-Hansoko,,,,
MES_ARTS_KOK.BIN,0,string_pack,7,神槍崩捶,Shinso-Hosui,,,,
MES_ARTS_KOK.BIN,0,string_pack,8,神槍踹回脚,Shinso-Tankai,,,,
MES_ARTS_KOK.BIN,0,string_pack,9,神槍踹鎌脚,Shinso-Tanren,,,,
MES_ARTS_KOK.BIN,0,string_pack,10,単衝天炮,Tansho-Tenho,,,,
MES_ARTS_KOK.BIN,0,string_pack,11,寸捶,Sunsui,,,,
MES_ARTS_KOK.BIN,0,string_pack,12,弓歩連捶,Kyuho-Rensui,,,,
MES_ARTS_KOK.BIN,0,string_pack,13,両儀肘,Ryogi-Chu,,,,
MES_ARTS_KOK.BIN,0,string_pack,14,地降龍,Chikoryu,,,,
MES_ARTS_KOK.BIN,0,string_pack,15,降龍揚,Koryuyo,,,,
MES_ARTS_KOK.BIN,0,string_pack,16,劈鐘連下,Hekisho-Renga,,,,
MES_ARTS_KOK.BIN,0,string_pack,17,劈鐘翼肘,Hekisho-Yokuchu,,,,
MES_ARTS_KOK.BIN,0,string_pack,18,開門肘,Kaimon-Chu,,,,
MES_ARTS_KOK.BIN,0,string_pack,19,盤提連推,Bantei-Rensui,,,,
MES_ARTS_KOK.BIN,0,string_pack,20,盤提昇華脚,Bantei-Shoka,,,,
MES_ARTS_KOK.BIN,0,string_pack,21,通天炮,Tsutenho,,,,
MES_ARTS_KOK.BIN,0,string_pack,22,打開,Dakai,,,,
MES_ARTS_KOK.BIN,0,string_pack,23,雲抄手,Unshoshu,,,,
MES_ARTS_KOK.BIN,0,string_pack,24,猛虎硬爬山,Moko-Kohazan,,,,
MES_ARTS_KOK.BIN,0,string_pack,25,探馬連頂肘,Tanma-Rencho-Chu,,,,
MES_ARTS_KOK.BIN,0,string_pack,26,逆縁叛胯,Gyakuen-Hanko,,,,
MES_ARTS_KOK.BIN,0,string_pack,27,撑掌,Tosho,,,,
MES_ARTS_KOK.BIN,0,string_pack,28,托掌震脚双推掌,Takusho-Shinkyaku-Sosui,,,,
MES_ARTS_KOK.BIN,0,string_pack,29,伏虎炮肘,Fukko-Hochu,,,,
MES_ARTS_KOK.BIN,0,string_pack,30,反そう胯,Hansoko,,,,
MES_ARTS_KOK.BIN,0,string_pack,31,崩捶,Hosui,,,,
MES_ARTS_KOK.BIN,0,string_pack,32,踹回脚,Tankai-Kyaku,,,,
MES_ARTS_KOK.BIN,0,string_pack,33,踹鎌脚,Tanren-Kyaku,,,,
MES_ARTS_KOK.BIN,0,string_pack,34,単堤天炮,Tantei-Tenho,,,,
MES_ARTS_KOK.BIN,0,string_pack,35,跳山崩捶,Chozan-Hosui,,,,
MES_ARTS_KOK.BIN,0,string_pack,36,連環腿,Renkan-Tai,,,,
MES_ARTS_KOK.BIN,0,string_pack,37,背華腿,Haika-Tai,,,,
MES_ARTS_KOK.BIN,0,string_pack,38,攉打頂肘,Kakuda-Chochu,,,,
MES_ARTS_KOK.BIN,0,string_pack,39,跟提反そう胯,Kontei-Hansoko,,,,
MES_ARTS_KOK.BIN,0,string_pack,40,跟提崩捶,Kontei-Hosui,,,,
MES_ARTS_KOK.BIN,0,string_pack,41,跟提連回脚,Kontei-Renkai,,,,
MES_ARTS_KOK.BIN,0,string_pack,42,跟提鎌蹴,Kontei-Renshu,,,,
MES_ARTS_KOK.BIN,0,string_pack,43,鳳凰掌,Ho-O-Sho,,,,
MES_ARTS_KOK.BIN,0,string_pack,44,迎門三不顧,Geimon-Sanfuko,,,,
MES_ARTS_KOK.BIN,0,string_pack,45,炮提飛翔,Hotei-Hisho,,,,
MES_ARTS_KOK.BIN,0,string_pack,46,炮提翼頂,Hotei-Yokucho,,,,
MES_ARTS_KOK.BIN,0,string_pack,47,雷帝降山,Raitei-Kozan,,,,
MES_ARTS_KOK.BIN,0,string_pack,48,窩里炮,Kariho,,,,
MES_ARTS_KOK.BIN,0,string_pack,49,閉錘靠,Heisui-Ko,,,,
MES_ARTS_KOK.BIN,0,string_pack,50,二郎担山,Jiro-Tanzan,,,,
MES_ARTS_KOK.BIN,0,string_pack,51,蹭歩靠,Soho-Ko,,,,
MES_ARTS_KOK.BIN,0,string_pack,52,通背式,Tsuhai-Shiki,,,,
MES_ARTS_KOK.BIN,0,string_pack,53,仆地連腿,Bokuchi-Rentai,,,,
MES_ARTS_KOK.BIN,0,string_pack,54,貼山靠,Tenzan-Ko,,,,
MES_ARTS_KOK.BIN,0,string_pack,55,朱雀天掌,Suzaku-Tensho,,,,
MES_ARTS_KOK.BIN,0,string_pack,56,朱雀天脚,Suzaku-Tenkyaku,,,,
MES_ARTS_KOK.BIN,0,string_pack,57,神槍起山靠,Shinso-Kizan-Ko,,,,
MES_ARTS_KOK.BIN,0,string_pack,58,圏抱掌,Kenpo-Sho,,,,
MES_ARTS_KOK.BIN,0,string_pack,59,摔欄捶炮,Shutsuran-Suiho,,,,
MES_ARTS_KOK.BIN,0,string_pack,60,連打開,Ren-Dakai,,,,
MES_ARTS_KOK.BIN,0,string_pack,61,親孝叛胯,Shinko-Hanko,,,,
MES_ARTS_KOK.BIN,0,string_pack,62,親孝天炮,Shinko-Tenho,,,,
MES_ARTS_KOK.BIN,0,string_pack,63,親孝回蹴,Shinko-Kaishu,,,,
MES_ARTS_KOK.BIN,0,string_pack,64,親孝鎌蹴,Shinko-Renshu,,,,
MES_ARTS_KOK.BIN,0,string_pack,65,転身天炮,Tenshin-Tenho,,,,
MES_ARTS_KOK.BIN,0,string_pack,66,転身連腿,Tenshin-Rentai,,,,
MES_ARTS_KOK.BIN,0,string_pack,67,撤歩単翼,Teppo-Tanyoku,,,,
MES_ARTS_KOK.BIN,0,string_pack,68,背勢二郎担山,Haisei-Jiro-Tanzan,,,,
MES_ARTS_KOK.BIN,0,string_pack,69,胸靠,Kyoko,,,,
MES_ARTS_KOK.BIN,0,string_pack,70,白鶴冲天,Hakkaku-Chuten,,,,
MES_ARTS_KOK.BIN,0,string_pack,71,覇王折江,Hao-Sekko,,,,
MES_ARTS_KOK.BIN,0,string_pack,72,推窗望月,Suiso-Bogetsu,,,,
MES_ARTS_KOK.BIN,0,string_pack,73,盤提,Bantei,,,,
MES_ARTS_KOK.BIN,0,string_pack,74,赤壁鏖戦,Sekiheki-Osen,,,,
MES_ARTS_KOK.BIN,0,string_pack,75,托槍式,Takuso-Shiki,,,,
MES_ARTS_KOK.BIN,0,string_pack,76,足壁転下,Sokuheki-Tenga,,,,
MES_ARTS_KOK.BIN,0,string_pack,77,神槍開門,Shinso-Kaimon,,,,
MES_ARTS_KOK.BIN,0,string_pack,78,背歩えい胯,Haiho-Eiko,,,,
