file,child_index,child_name,index,JP,EN (Machine Translated),FR,DE,IT,ES
MES_ARTS_RIG.BIN,0,string_pack,0,ノプンデ・パロチルギ(上段順突き),Nopunde Paro Chireugi (High Straight Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,1,ノプンデ・パンデチルギ(上段逆突き),Nopunde Pande Chireugi (High Reverse Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,2,ソンカル・アヌロテリギ(手刀内叩き),Sonkal Anuro Terigi (Knifehand Inner Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,3,水面蹴り(仮),Surface Kick (Temp),,,,
MES_ARTS_RIG.BIN,0,string_pack,4,トラ・ネリョチャギ（仮）,Tora Neryo Chagi (Temp) (Turning Down Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,5,コルリョ・チャギ(掛け蹴り),Gollyeo Chagi (Hook Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,6,カウンデ・トルリョチャギ(中段回し蹴り),Kaunde Dollyeo Chagi (Middle Roundhouse Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,7,ノプンデ・ヨプチャチルギ(上段横突き蹴り),Nopunde Yopcha Jireugi (High Side Thrust Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,8,カウンデ・パンデ・トルリョチャギ(中段反対回転蹴り),Kaunde Pande Dollyeo Chagi (Middle Reverse Roundhouse Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,9,ナジュンデ・ヨプチャチルギ(下段横突き蹴り),Najunde Yopcha Jireugi (Low Side Thrust Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,10,ノプンデ・ヨプチャチルギ(上段横突き蹴り),Nopunde Yopcha Jireugi (High Side Thrust Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,11,ナジュンデ・トルリョチャギ(下段回し蹴り),Najunde Dollyeo Chagi (Low Roundhouse Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,12,ヨプチャ・オルリギ(横蹴り上げ),Yopcha Olrigi (Side Rising Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,13,下段逆回転踵落とし（仮）,Low Reverse Spinning Heel Drop (Temp),,,,
MES_ARTS_RIG.BIN,0,string_pack,14,ムル・チャギ(膝蹴り),Murup Chagi (Knee Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,15,サンジュモク・ティジボチルギ(双拳返し突き),Sangjumok Tijibo Chireugi (Double Fist Return Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,16,PP～回転,PP ~ Spin,,,,
MES_ARTS_RIG.BIN,0,string_pack,17,カウンデ・パロチルギ(中段順突き),Kaunde Paro Chireugi (Middle Straight Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,18,ノプンデ・ソンパダク・テリギ(仮) (上段掌底叩き),Nopunde Sonpadak Terigi (Temp) (High Palm Base Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,19,スジクソ・ソンカル・ネリョテリギ(垂直手刀落とし),Sujikso Sonkal Neryo Terigi (Vertical Knifehand Down Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,20,ウッパルクッ・テリギ(上肘叩き),Up Palgup Terigi (Upper Elbow Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,21,トゥンジュモク・ノプンデ・ヨプテリギ(裏拳上段横叩き),Deung Jumeok Nopunde Yop Terigi (Backfist High Side Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,22,アプパルクッ・テリギ(前肘叩き),Ap Palgup Terigi (Front Elbow Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,23,ヨプパルクッ・トゥルキ(横肘貫き),Yeop Palgup Ttulgi (Side Elbow Pierce),,,,
MES_ARTS_RIG.BIN,0,string_pack,24,水面蹴り,Surface Kick,,,,
MES_ARTS_RIG.BIN,0,string_pack,25,ソンカル・カウンデ・ヨプテリギ(中段手刀横叩き),Sonkal Kaunde Yop Terigi (Middle Knifehand Side Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,26,カウンデ・パロチルギ(中段順突き),Kaunde Paro Chireugi (Middle Straight Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,27,ティミョ・540トラ・トゥボンチャギ(540_2段蹴り),Timyeo 540 Tora Du Bon Chagi (Jumping 540 Turning Two-Hit Kick),,,,
MES_ARTS_RIG.BIN,0,string_pack,28,オルリョチルギ(上げ突き),Ollyo Chireugi (Rising Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,29,⇒ナジュンデ・パンデ・チルギ(下段反対突き),=> Najunde Pande Chireugi (Low Reverse Thrust),,,,
MES_ARTS_RIG.BIN,0,string_pack,30,ソンカル・ナジュンデ・ヨプテリギ(下段手刀横叩き),Sonkal Najunde Yop Terigi (Low Knifehand Side Strike),,,,
MES_ARTS_RIG.BIN,0,string_pack,31,ソンソンクッ・カウンデ・パロトゥルキ,Son Sonkkeut Kaunde Paro Ttulgi (Fingertip Middle Straight Pierce),,,,
MES_ARTS_RIG.BIN,0,string_pack,32,上段回し蹴り(ノプンデ・トルリョチャギ),High Roundhouse Kick (Nopunde Dollyeo Chagi),,,,
