file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ARTS_RYU.BIN,0,string_pack,0,連・邪鬼払い,Ren-Jaki-Barai,,,,
MES_ARTS_RYU.BIN,0,string_pack,1,浄魔蹴り,Joma-Geri,,,,
MES_ARTS_RYU.BIN,0,string_pack,2,浄魔連形印,Joma-Rengyoin,,,,
MES_ARTS_RYU.BIN,0,string_pack,3,空旋斬撃,Kusen-Zangeki,,,,
MES_ARTS_RYU.BIN,0,string_pack,4,連・闇払い,Ren-Yami-Barai,,,,
MES_ARTS_RYU.BIN,0,string_pack,5,滅鬼竜巻蹴り,Mekki-Tatsumaki,,,,
MES_ARTS_RYU.BIN,0,string_pack,6,連・鬼哭神啼脚,Ren-Kikoku-Shintei,,,,
MES_ARTS_RYU.BIN,0,string_pack,7,連・鬼神大鳳打,Ren-Kijin-Daihoda,,,,
MES_ARTS_RYU.BIN,0,string_pack,8,連・鬼神隠形印,Ren-Kijin-Ongyo,,,,
MES_ARTS_RYU.BIN,0,string_pack,9,波濤蹴り,Hato-Geri,,,,
MES_ARTS_RYU.BIN,0,string_pack,10,悪鬼払い,Akki-Barai,,,,
MES_ARTS_RYU.BIN,0,string_pack,11,蒼龍蹴り,Soryu-Geri,,,,
MES_ARTS_RYU.BIN,0,string_pack,12,蒼龍連形印,Soryu-Rengyoin,,,,
MES_ARTS_RYU.BIN,0,string_pack,13,空震撃,Kushin-Geki,,,,
MES_ARTS_RYU.BIN,0,string_pack,14,闇払い,Yami-Barai,,,,
MES_ARTS_RYU.BIN,0,string_pack,15,瀑布蹴,Bakufu-Shu,,,,
MES_ARTS_RYU.BIN,0,string_pack,16,真槍突き,Shinso-Zuki,,,,
MES_ARTS_RYU.BIN,0,string_pack,17,天突,Amatsuki,,,,
MES_ARTS_RYU.BIN,0,string_pack,18,地旋脚,Chisen-Kyaku,,,,
MES_ARTS_RYU.BIN,0,string_pack,19,雷震撃,Raishin-Geki,,,,
MES_ARTS_RYU.BIN,0,string_pack,20,神鷹跳斬,Shinyo-Chozan,,,,
MES_ARTS_RYU.BIN,0,string_pack,21,臥竜閃,Garyo-Sen,,,,
MES_ARTS_RYU.BIN,0,string_pack,22,備前一文字,Bizen-Ichimonji,,,,
MES_ARTS_RYU.BIN,0,string_pack,23,真行草隠形印,Shingyoso-Ongyoin,,,,
MES_ARTS_RYU.BIN,0,string_pack,24,邪鬼払い,Jaki-Barai,,,,
MES_ARTS_RYU.BIN,0,string_pack,25,弾車,Hazumi-Guruma,,,,
MES_ARTS_RYU.BIN,0,string_pack,26,破邪飛龍斬,Haja-Hiryu,,,,
MES_ARTS_RYU.BIN,0,string_pack,27,破邪連翔,Haja-Rensho,,,,
MES_ARTS_RYU.BIN,0,string_pack,28,破邪隠形印,Haja-Ongyo,,,,
MES_ARTS_RYU.BIN,0,string_pack,29,鬼菱,Onibishi,,,,
MES_ARTS_RYU.BIN,0,string_pack,30,足刀連蹴,Sokuto-Renshu,,,,
MES_ARTS_RYU.BIN,0,string_pack,31,裏地掃脚,Ura-Chiso-Kyaku,,,,
