file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_BTL_END_MENU.BIN,0,string_pack,0,同じキャラクターで再戦する,FIGHT AGAIN,COMBATTRE À NOUVEAU,ERNEUT KÄMPFEN,COMBATTERE DI NUOVO,LUCHAR OTRA VEZ
MES_BTL_END_MENU.BIN,0,string_pack,1,キャラクターを変えず再戦します,Fight again with the same character.,Combattez avec le même personnage.,Mit gleichem Charakter erneut kämpfen.,Combatti ancora con lo stesso personaggio.,Volver a luchar con el mismo personaje.
MES_BTL_END_MENU.BIN,0,string_pack,2,キャラクターを変えて再戦する,CHANGE CHARACTER,CHOIX PERSONNAGES,CHARAKTERE WECHSELN,CAMBIARE PERSONAGGI,CAMBIAR PERSONAJES
MES_BTL_END_MENU.BIN,0,string_pack,3,キャラクターを変えて再戦します,Fight again with a different character.,Combattez avec un personnage différent.,Mit anderem Charakter erneut kämpfen.,Combatti ancora con un altro personaggio.,Vuelve a luchar con un personaje diferente.
MES_BTL_END_MENU.BIN,0,string_pack,4,ステージを変えて再戦する,CHANGE STAGE,CHOIX NIVEAU,STAGE WECHSELN,CAMBIARE DI LIVELLO,CAMBIAR FASE
MES_BTL_END_MENU.BIN,0,string_pack,5,ステージを変えて再戦します（体験版ではできません）,Fight again on a different stage. (Not available in the demo.),Combattez à nouveau dans un niveau différent. (Non disponible dans la démo.),In einer anderen Stage erneut kämpfen. (In der Demo nicht verfügbar.),Combatti ancora in un livello diverso. (Non disponibile nella demo.),Vuelve a luchar en una fase diferente. (No disponible en la demo.)
MES_BTL_END_MENU.BIN,0,string_pack,6,リプレイを保存する,SAVE REPLAY,SAUVEGARDER REDIFFUSION,WIEDERHOLUNG SPEICHERN,SALVARE REPLAY,GUARDAR REPETICIÓN
MES_BTL_END_MENU.BIN,0,string_pack,7,リプレイデータを保存します(体験版ではできません),Save a replay of this battle. (Not available in the demo.),Sauvegardez une rediffusion de ce combat. (Non disponible dans la démo.),Eine Aufzeichnung dieses Kampfes speichern. (In der Demo nicht verfügbar.),Salva un replay di questa battaglia. (Non disponibile nella demo.),Guarda la repetición de este combate. (No disponible en la demo.)
MES_BTL_END_MENU.BIN,0,string_pack,8,画面に表示する技情報タイプを選択します,Set the type of move info that appears on the screen.,Paramétrez les types de prises qui apparaissent à l'écran.,Lege die anzuzeigende Move-Info fest. ,Imposta il tipo di informazioni sulle mosse da visualizzare sullo schermo.,Selecciona el tipo de información para un movimiento que aparece en la pantalla.
MES_BTL_END_MENU.BIN,0,string_pack,9,画面に表示する技情報タイプを選択します,Set the type of move info that appears on the screen.,Paramétrez les types de prises qui apparaissent à l'écran.,Lege die anzuzeigende Move-Info fest. ,Imposta il tipo di informazioni sulle mosse da visualizzare sullo schermo.,Selecciona el tipo de información para un movimiento que aparece en la pantalla.
MES_BTL_END_MENU.BIN,0,string_pack,10,画面に表示する技情報タイプを選択します,Set the type of move info that appears on the screen.,Paramétrez les types de prises qui apparaissent à l'écran.,Lege die anzuzeigende Move-Info fest. ,Imposta il tipo di informazioni sulle mosse da visualizzare sullo schermo.,Selecciona el tipo de información para un movimiento que aparece en la pantalla.
MES_BTL_END_MENU.BIN,0,string_pack,11,ゲームを終了してタイトルへ戻ります,End the current game and return to the Title Screen.,Quitter la partie en cours et revenir à l'écran-titre.,Spiel beenden und zurück zum Titel-Bildschirm,Termina la partita e torna ai titoli.,Termina la partida y vuelve a la pantalla del título.
MES_BTL_END_MENU.BIN,0,string_pack,12,コントローラの設定を変更します,Change controller settings.,Modifiez les paramètres de commande.,Ändere die Controller-Einstellungen.,Cambia le impostazioni del controller.,Cambia los parámetros del mando.
MES_BTL_END_MENU.BIN,0,string_pack,13,@[pad:Decide]決定,@[pad:Decide]OK,@[pad:Decide]OK,@[pad:Decide]OK,@[pad:Decide]OK,@[pad:Decide]Aceptar
MES_BTL_END_MENU.BIN,0,string_pack,14,はい,,,,,
MES_BTL_END_MENU.BIN,0,string_pack,15,いいえ,,,,,
MES_BTL_END_MENU.BIN,0,string_pack,16,@[pad:Decide]進む,@[pad:Decide]Next,@[pad:Decide]Continuer,@[pad:Decide]Weiter,@[pad:Decide]Prosegui,@[pad:Decide]Continuar
MES_BTL_END_MENU.BIN,0,string_pack,17,もう一度再生する,PLAY AGAIN,,,,
