file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_CHARA_SELECT.BIN,0,string_pack,0,CHARACTER SELECT,CHARACTER SELECT,SÉLECTION DU PERSONNAGE,CHARAKTERWAHL,SELEZIONE PERSONAGGIO,SELECCIONAR PERSONAJE
MES_CHARA_SELECT.BIN,0,string_pack,1,@[pad:Decide]決定　@[pad:Cancel]戻る,@[pad:Decide]OK  @[pad:Cancel]Back,@[pad:Decide]OK  @[pad:Cancel]Retour,@[pad:Decide]OK  @[pad:Cancel]Zurück,@[pad:Decide]OK  @[pad:Cancel]Indietro,@[pad:Decide]Aceptar  @[pad:Cancel]Atrás
MES_CHARA_SELECT.BIN,0,string_pack,2,○決定　×戻る,O OK X BACK,O OK X BACK,O OK X BACK,O OK X BACK,O OK X BACK
MES_CHARA_SELECT.BIN,0,string_pack,3,@[pad:Decide]決定,,,,,
MES_CHARA_SELECT.BIN,0,string_pack,4,@[pad:Cancel]戻る,,,,,
MES_CHARA_SELECT.BIN,0,string_pack,5,ZACK,ZACK,ZACK,ZACK,ZACK,ZACK
MES_CHARA_SELECT.BIN,0,string_pack,6,TINA,TINA,TINA,TINA,TINA,TINA
MES_CHARA_SELECT.BIN,0,string_pack,7,JANN LEE,JANN LEE,JANN LEE,JANN LEE,JANN LEE,JANN LEE
MES_CHARA_SELECT.BIN,0,string_pack,8,HAYABUSA,HAYABUSA,HAYABUSA,HAYABUSA,HAYABUSA,HAYABUSA
MES_CHARA_SELECT.BIN,0,string_pack,9,KASUMI,KASUMI,KASUMI,KASUMI,KASUMI,KASUMI
MES_CHARA_SELECT.BIN,0,string_pack,10,GEN FU,GEN FU,GEN FU,GEN FU,GEN FU,GEN FU
MES_CHARA_SELECT.BIN,0,string_pack,11,HELENA,HELENA,HELENA,HELENA,HELENA,HELENA
MES_CHARA_SELECT.BIN,0,string_pack,12,BASS,BASS,BASS,BASS,BASS,BASS
MES_CHARA_SELECT.BIN,0,string_pack,13,KOKORO,KOKORO,KOKORO,KOKORO,KOKORO,KOKORO
MES_CHARA_SELECT.BIN,0,string_pack,14,HAYATE,HAYATE,HAYATE,HAYATE,HAYATE,HAYATE
