file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,0,画面のボタン配置は初期設定のものです。ボタン設定はオプションのコントローラ設定で変更できます。,Default configuration shown. Change the button configuration from Controller in the Options menu.,Affichage de la configuration par défaut. Modifiez la configuration des touches dans Manette depuis le menu des options.,"Standardbelegung des Controllers. Unter ""Controller"" im Optionsmenü kannst du die Tastenbelegung ändern.","Configurazione predefinita visualizzata. Puoi cambiare la configurazione dei comandi in Controller, nel menu Opzioni.","Se muestra la configuración por defecto. Cambia la configuración de botones en Mando, en el menú de Opciones."
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,1,@[pad:Cancel]戻る,@[pad:Cancel]Back,@[pad:Cancel]Retour,@[pad:Cancel]Zurück,@[pad:Cancel]Indietro,@[pad:Cancel]Atrás
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,2,パンチ(@[pad:IconP]),Punch (@[pad:IconP]),Coup de poing (@[pad:IconP]),Schlag (@[pad:IconP]),Pugno (@[pad:IconP]),Puñetazo (@[pad:IconP])
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,3,キック(@[pad:IconK]),Kick (@[pad:IconK]),Coup de pied (@[pad:IconK]),Tritt (@[pad:IconK]),Calcio (@[pad:IconK]),Patada (@[pad:IconK])
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,4,投げ(@[pad:IconT]),Throw (@[pad:IconT]),Projection (@[pad:IconT]),Wurf (@[pad:IconT]),Proiezione (@[pad:IconT]),Derribo (@[pad:IconT])
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,5,@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK](パワーブローなど),"@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Power Blow, etc.)","@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Coup puissant, etc.)","@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Power-Angriff, usw.)","@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Colpo potente, ecc.)","@[pad:IconH]@[pad:IconPlus]@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Golpe cargado, etc.)"
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,6,ホールド(@[pad:IconH]) /ガード,Hold (@[pad:IconH])/Guard ,Prise (@[pad:IconH])/Garde,Griff (@[pad:IconH])/Abwehr ,Presa (@[pad:IconH])/Guardia,Llave (@[pad:IconH])/Guardia
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,7,@[pad:IconP]@[pad:IconPlus]@[pad:IconK](強パンチ),@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Strong Punch),@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Coup de poing puissant),@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Starker Schlag),@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Pugno forte),@[pad:IconP]@[pad:IconPlus]@[pad:IconK] (Puñetazo fuerte)
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,8,キャラクター移動,Move character,Déplacer personnage,Charakter bewegen,Muovere personaggio,Mover personaje
MES_INSTRUCTION_SCREEN.BIN,0,string_pack,9,-,-,-,-,-,-
