file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_ONLINE.BIN,0,string_pack,0,相手を素早く見つけて対戦します。グレードは変動しません。,Quickly join a match with another opponent. Grade will not change.,MATCH SIMPLE,EINFACHES SPIEL,PARTITA VELOCE,COMBATE RÁPIDO
MES_ONLINE.BIN,0,string_pack,1,相手を素早く見つけて対戦します。グレードが変動します。,Quickly join a match with another opponent. Grade will change.,PARTIE AVEC CLASSEMENT,RANGSPIEL,PARTITA CLASSIFICATA,COMBATE DE CLASIFICACIÓN
MES_ONLINE.BIN,0,string_pack,2,最大１６人で、様々なルールで対戦します。グレードは変動しません。,Set various rules and fight with up to 16 people. Grade will not change.,SALLE D'ATTENTE,LOBBY-SPIEL,PARTITA SALA D'ATTESA,COMBATE DE PUNTO DE ENCUENTRO
MES_ONLINE.BIN,0,string_pack,3,様々なランキングを閲覧します。,View leaderboards.,TABLEAU DES CHAMPIONS,BESTENLISTEN,CLASSIFICHE,MARCADORES
MES_ONLINE.BIN,0,string_pack,4,登録したファイターを確認します。対戦を申し込んだり、AIと戦うこともできます。,View fighters you have registered. Send them throwdowns or fight their AIs.,LISTE DES COMBATTANTS,KÄMPFERLISTE,ELENCO LOTTATORI,LISTA DE LUCHADORES
MES_ONLINE.BIN,0,string_pack,5,facebook,FACEBOOK,FACEBOOK,FACEBOOK,FACEBOOK,FACEBOOK
MES_ONLINE.BIN,0,string_pack,6,@[pad:Decide]決定　　@[pad:Cancel]戻る,@[pad:Decide]OK  @[pad:Cancel]Back,@[pad:Decide]OK  @[pad:Cancel]Retour,@[pad:Decide]OK  @[pad:Cancel]Zurück,@[pad:Decide]OK  @[pad:Cancel]Indietro,@[pad:Decide]Aceptar  @[pad:Cancel]Atrás
MES_ONLINE.BIN,0,string_pack,7,登録済みのファイターです。新規追加は、対戦後のメニューやロビーのサブメニューで行います。,List of registered fighters. New fighters can be registered after a fight or in a lobby.,LISTE DES COMBATTANTS,KÄMPFERLISTE,ELENCO LOTTATORI,LISTA DE LUCHADORES
MES_ONLINE.BIN,0,string_pack,8,@[pad:Decide]対戦申し込み　　@[pad:Ru]リストから削除　　@[pad:Rl]ゴーストリスト　　@[pad:Cancel]戻る,@[pad:Decide]Throwdown Challenge  @[pad:Ru]Delete  @[pad:Rl]Ghost list  @[pad:Cancel]Back,@[pad:Decide]OK  @[pad:Cancel]Retour,@[pad:Decide]OK  @[pad:Cancel]Zurück,@[pad:Decide]OK  @[pad:Cancel]Indietro,@[pad:Decide]Aceptar  @[pad:Cancel]Atrás
MES_ONLINE.BIN,0,string_pack,9,リストから削除します。よろしいですか?,Delete this entry from the list?,Effacer de la liste ?,Diesen Eintrag aus der Liste entfernen?,Eliminare questa voce dalla lista?,¿Quieres borrar esta entrada de la lista?
