file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_OPTION.BIN,0,string_pack,0,ON,ON,ACTIVÉ,EIN,SÌ,SÍ
MES_OPTION.BIN,0,string_pack,1,OFF,OFF,DÉSACTIVÉ,AUS,NO,NO
MES_OPTION.BIN,0,string_pack,2,-,-,-,-,-,-
MES_OPTION.BIN,0,string_pack,3,デジタルインストの表示を1P2Pで個々に設定します,-,-,-,-,-
MES_OPTION.BIN,0,string_pack,4,1P,P1,J1,S1,G1,J1
MES_OPTION.BIN,0,string_pack,5,2P,P2,J2,S2,G2,J2
MES_OPTION.BIN,0,string_pack,6,-,-,-,-,-,-
MES_OPTION.BIN,0,string_pack,7,ゲームの機能に関する設定です,Change game settings.,Modifier les paramètres de jeu.,Ändere Spieleinstellungen.,Modifica le impostazioni di gioco.,Cambia los parámetros del juego.
MES_OPTION.BIN,0,string_pack,8,技データの表示,MOVE DATA,DÉPLACER LES DONNÉES,MOVE-DATEN,DATI MOSSE,DATOS MOVIMIENTO
MES_OPTION.BIN,0,string_pack,9,画面に表示する技情報タイプを選択します,Set the type of move info that appears on the screen.,Paramétrer les infos des coups qui apparaissent à l'écran.,Lege die anzuzeigende Move-Info fest. ,Imposta il tipo di informazioni sulle mosse da visualizzare sullo schermo.,Selecciona el tipo de información para un movimiento que aparece en la pantalla.
MES_OPTION.BIN,0,string_pack,10,スキルインフォ,MOVE DETAILS,DÉTAILS COUPS,MOVE-DETAILS,DETTAGLI MOSSA,DETALLES DE MOVIMIENTOS
MES_OPTION.BIN,0,string_pack,11,デジタルインストの表示を 1P/2P で個々に設定します,Set Move List display for P1 and P2.,Configurer l'affichage de la liste des coups pour le J1 et le J2.,Move-Listen-Anzeige für S1 und S2 festlegen.,Mostra l'elenco mosse per G1 e G2.,Configura cómo aparecerá la lista de movimientos para el J1 y el J2.
MES_OPTION.BIN,0,string_pack,12,カメラタイプ,CAMERA TYPE,TYPE DE CAMÉRA,KAMERATYP,TIPO DI TELECAMERA,TIPO DE CÁMARA
MES_OPTION.BIN,0,string_pack,13,状況ごとにカメラワークをダイナミックに変化させるか選択します,Set whether to use dramatic camerawork based on gameplay conditions.,Définir l'utilisation des mouvements de caméra dynamiques en fonction des conditions de jeu.,"Lege fest, ob spielabhängig dramatische Kameraeinstellungen gezeigt werden sollen.",Imposta se usare la visuale drammatica secondo le condizioni di gioco.,Establece si la cámara cambia en función de lo que suceda en el combate.
MES_OPTION.BIN,0,string_pack,14,ダイナミック,ACTION,ACTION,ACTION,AZIONE,ACCIÓN
MES_OPTION.BIN,0,string_pack,15,クラシック,CLASSIC,CLASSIQUE,KLASSISCH,CLASSICA,CLÁSICO
MES_OPTION.BIN,0,string_pack,16,ヒットエフェクト,HIT EFFECT,EFFET DE COUP,TREFFEREFFEKT,EFFETTI DEI COLPI,EFECTO DE GOLPES
MES_OPTION.BIN,0,string_pack,17,ヒットエフェクトを表示するかどうか設定します,Turn hit effects on or off.,Activer/désactiver les effets des coups.,Treffereffekte an- oder ausschalten.,Attiva e disattiva gli effetti d'impatto.,Activa o desactiva los efectos de los golpes.
MES_OPTION.BIN,0,string_pack,18,汚れの表現,DIRT,SALETÉ,SCHMUTZ,SPORCIZIA,SUCIEDAD
MES_OPTION.BIN,0,string_pack,19,バトル中のキャラクターに汚れが付くかどうか選択します,Set whether the character gets dirty during a fight.,Choisissez si le personnage se salit durant le combat.,"Legt fest, ob Charaktere sich im Kampf schmutzig machen.",Imposta se il personaggio si sporca durante il combattimento.,Elige si el personaje se ensucia durante un combate.
MES_OPTION.BIN,0,string_pack,20,汗の表現,SWEAT,SUEUR,SCHWEISS,SUDORE,SUDOR
MES_OPTION.BIN,0,string_pack,21,バトル中のキャラクターが汗をかくかどうか選択します,Set whether the character sweats during a fight.,Choisissez si le personnage transpire durant le combat.,"Legt fest, ob Charaktere im Kampf schwitzen.",Imposta se il personaggio suda durante il combattimento.,Elige si el personaje suda durante un combate.
MES_OPTION.BIN,0,string_pack,22,画面表示物の設定,FIGHT SCREEN INFO,,,,
