file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_SKILL_INFO.BIN,0,string_pack,0,SKILL INFO,MOVE DETAILS,DÉTAILS COUPS,MOVE-DETAILS,DETTAGLI MOSSA,DETALLES MOVIMIENTO
MES_SKILL_INFO.BIN,0,string_pack,1,Damage,DAMAGE,DÉGÂTS,SCHADEN,DANNO,DAÑOS
MES_SKILL_INFO.BIN,0,string_pack,2,Combo Damage,COMBO DAMAGE,DÉGÂTS COMBO,COMBO-SCHADEN,DANNO COMBO,DAÑOS COMBO
MES_SKILL_INFO.BIN,0,string_pack,3,Attribute,TYPE,TYPE,TYP,TIPO,TIPO
MES_SKILL_INFO.BIN,0,string_pack,4,Status,STATUS,POSITION,STATUS,STATO,ESTATUS
MES_SKILL_INFO.BIN,0,string_pack,5,Frame,FRAME,SÉQUENCE,FRAME,FRAME,FOTOGRAMA
MES_SKILL_INFO.BIN,0,string_pack,6,上段,HIGH,HAUT,HOCH,ALTO,ALTO
MES_SKILL_INFO.BIN,0,string_pack,7,中段,MIDDLE,MOYEN,MITTIG,MEDIO,MEDIO
MES_SKILL_INFO.BIN,0,string_pack,8,下段,LOW,BAS,TIEF,BASSO,BAJO
MES_SKILL_INFO.BIN,0,string_pack,9,通常移動,MOVE,DÉPLACER,BEWEGEN,MOVIMENTO,MOVER
MES_SKILL_INFO.BIN,0,string_pack,10,ジャンプ,JUMP,SAUT,SPRUNG,SALTA,SALTO
MES_SKILL_INFO.BIN,0,string_pack,11,ジャンプ攻撃,JUMP ATTACK,ATTAQUE SAUTÉE,SPRUNGANGRIFF,ATTACCO VOLANTE,ATAQUE EN SALTO
MES_SKILL_INFO.BIN,0,string_pack,12,打撃,STRIKE,FRAPPE,ANGRIFF,COLPO,GOLPE
MES_SKILL_INFO.BIN,0,string_pack,13,投げ中,DURING THROW,PENDANT LA PROJ.,BEIM WURF,DURANTE PROIEZ.,DURANTE DERRIBO
MES_SKILL_INFO.BIN,0,string_pack,14,ホールドつかみ,GRAB FOR HOLD,COMMENCER PRISE,FÜR GRIFF PACKEN,AFFERRA PER PRESA,AGARRANDO (LLAVE)
MES_SKILL_INFO.BIN,0,string_pack,15,ホールド中,DURING HOLD,PENDANT LA PRISE,BEIM GRIFF,DURANTE PRESA,DURANTE LLAVE
MES_SKILL_INFO.BIN,0,string_pack,16,ガード,GUARD,GARDE,ABWEHR,GUARDIA,SALTO
MES_SKILL_INFO.BIN,0,string_pack,17,打撃よろけ,STRIKE STAGGER,VACILLEMENT APRÈS COUP,WANKEND,BARCOLLAMENTO COLPO,GOLPE TAMBALEO
MES_SKILL_INFO.BIN,0,string_pack,18,打撃やられ,STRIKE HIT,COUP REÇU,GETROFFEN,COLPO A SEGNO,IMPACTO
MES_SKILL_INFO.BIN,0,string_pack,19,投げられ中,WHILE THROWN,PROJETÉ,GEWORFEN,LANCIATO,DERRIBADO
MES_SKILL_INFO.BIN,0,string_pack,20,つかまれ中,WHILE HELD,PRISE,GEHALTEN,TRATTENUTO,LLAVE
MES_SKILL_INFO.BIN,0,string_pack,21,ダウン中,DOWN,AU SOL,AM BODEN,A TERRA,TUMBADO
MES_SKILL_INFO.BIN,0,string_pack,22,その他,OTHER,AUTRE,ANDERER,ALTRO,OTRO
MES_SKILL_INFO.BIN,0,string_pack,23,ダウン攻撃,DOWN ATTACK,ATTAQUE AU SOL,ANGRIFF NACH UNTEN,ATTACCO BASSO,ATAQUE BAJO
MES_SKILL_INFO.BIN,0,string_pack,24,ダウン攻撃やられ,HIT BY DOWN ATTACK,COUP REÇU AU SOL,GETROFFEN (BODENANGRIFF),COLPITO A TERRA,GOLPEADO TUMBADO
MES_SKILL_INFO.BIN,0,string_pack,25,投げつかみ,GRAB FOR THROW,COMMENCER PROJ.,FÜR WURF PACKEN,AFFERRA PER PROIEZ.,AGARRANDO (DERR.)
MES_SKILL_INFO.BIN,0,string_pack,26,追尾あり,TRACKING,TRAQUE,ZIELSUCHEND,A SEGUIRE,SEGUIMIENTO
MES_SKILL_INFO.BIN,0,string_pack,27,追尾なし,NO TRACKING,PAS DE TRAQUE,NICHT ZIELSUCHEND,NON A SEGUIRE,SIN SEGUIMIENTO
MES_SKILL_INFO.BIN,0,string_pack,28,立ち,STANDING,DEBOUT,STEHEND,IN PIEDI,EN PIE
MES_SKILL_INFO.BIN,0,string_pack,29,しゃがみ,CROUCHING,ACCROUPI,KAUERND,ABBASSATO,AGACHADO
MES_SKILL_INFO.BIN,0,string_pack,30,ダウン,DOWN,AU SOL,AM BODEN,GIÙ,EN EL SUELO
MES_SKILL_INFO.BIN,0,string_pack,31,ジャンプ,JUMPING,SAUT,IM SPRUNG,SALTO,EN SALTO
MES_SKILL_INFO.BIN,0,string_pack,32,OHつかみ,OH GRAB,AGRIPPEMENT DE PO,GREIFEN,AFFERRATO PO,AGARRANDO
MES_SKILL_INFO.BIN,0,string_pack,33,OH中,DURING OH,PO EN COURS,IM GRIFF,DURANTE PO,LLAVE OFENSIVA
MES_SKILL_INFO.BIN,0,string_pack,34,-,-,-,-,-,-
