file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_STAGE_SELECT.BIN,0,string_pack,0,STAGE SELECT,STAGE SELECT,CHOIX DU NIVEAU,STAGE-AUSWAHL,SELEZIONE LIVELLO,SELECCIONAR FASE
MES_STAGE_SELECT.BIN,0,string_pack,1,SCRAMBLE,SCRAMBLE,RUÉE,SCRAMBLE,PARAPIGLIA,CAOS TOTAL
MES_STAGE_SELECT.BIN,0,string_pack,2,FUEL,FUEL,COMBUSTIBLE,FUEL,CARBURANTE,COMBUSTIBLE
MES_STAGE_SELECT.BIN,0,string_pack,3,LAB,LAB,LABO,LAB,LABORATORIO,LABORATORIO
MES_STAGE_SELECT.BIN,0,string_pack,4,FLOW,FLOW,FLOT,FLOW,FLUSSO,FLUJO
MES_STAGE_SELECT.BIN,0,string_pack,5,PRIMAL,PRIMAL,PRIMITIF,PRIMAL,PRIMITIVO,PRIMARIO
MES_STAGE_SELECT.BIN,0,string_pack,6,HOME,HOME,FOYER,HOME,CASA,HOGAR
MES_STAGE_SELECT.BIN,0,string_pack,7,STREET,STREET,RUE,STREET,STRADA,LA CALLE
MES_STAGE_SELECT.BIN,0,string_pack,8,THE SHOW,THE SHOW,LE SHOW,THE SHOW,LO SPETTACOLO,EL ESPECTÁCULO
MES_STAGE_SELECT.BIN,0,string_pack,9,HOT ZONE,HOT ZONE,ATTENTION DANGER,HOT ZONE,ZONA CALDA,ZONA ARDIENTE
MES_STAGE_SELECT.BIN,0,string_pack,10,THE ENDS OF THE EARTH,THE ENDS OF THE EARTH,LA FIN DU MONDE,THE ENDS OF THE EARTH,IN CAPO AL MONDO,LOS CONFINES DE LA TIERRA
MES_STAGE_SELECT.BIN,0,string_pack,11,DEPTH,DEPTH,ABYSSE,DEPTH,PROFONDITÀ,PROFUNDIDAD
MES_STAGE_SELECT.BIN,0,string_pack,12,TEMPLE OF THE DRAGON,TEMPLE OF THE DRAGON,TEMPLE DU DRAGON,TEMPLE OF THE DRAGON,TEMPIO DEL DRAGO,TEMPLO DEL DRAGÓN
MES_STAGE_SELECT.BIN,0,string_pack,13,SAKURA,SAKURA,TEMPLE DE SAKURA,SAKURA,SAKURA,SAKURA
MES_STAGE_SELECT.BIN,0,string_pack,14,FIGHTING ENTERTAINMENT,FIGHTING ENTERTAINMENT,COMBAT DE DIVERTISSEMENT,FIGHTING ENTERTAINMENT,COMBATTIMENTO-INTRATTENIMENTO,DIVERSIÓN POR LUCHAR
MES_STAGE_SELECT.BIN,0,string_pack,15,DOJO,DOJO,DOJO,DOJO,DOJO,DOJO
MES_STAGE_SELECT.BIN,0,string_pack,16,SWEAT,SWEAT,SUEUR,SCHWEISS,SUDORE,SUDOR
MES_STAGE_SELECT.BIN,0,string_pack,17,DEAD OR ALIVE,DEAD OR ALIVE,DEAD OR ALIVE,DEAD OR ALIVE,DEAD OR ALIVE,VIVO O MUERTO
MES_STAGE_SELECT.BIN,0,string_pack,18,ARRIVAL,ARRIVAL,ARRIVÉE,ARRIVAL,ARRIVO,LA LLEGADA
MES_STAGE_SELECT.BIN,0,string_pack,19,SANCTUARY,SANCTUARY,SANCTUAIRE,SANCTUARY,SANTUARIO,SANTUARIO
MES_STAGE_SELECT.BIN,0,string_pack,20,RANDOM,RANDOM,,,,
MES_STAGE_SELECT.BIN,0,string_pack,21,@[pad:Ru]ノーデンジャー,@[pad:Ru]Danger Zones Off,@[pad:Ru]Zones Dangereuses désactivées,@[pad:Ru]Gefahrenzonen aus,@[pad:Ru]Zone pericolose disattivate,@[pad:Ru]Sin zonas de peligro
