file,child_index,child_name,index,JP,EN,FR,DE,IT,ES
MES_TUTORIAL.BIN,0,string_pack,0,車に表示されたボタンを押せ！,Press the button shown on the car!,Appuyez sur le bouton se trouvant sur la voiture !,Drücke die auf dem Auto angezeigte Taste!,Premi il tasto mostrato sull'auto!,¡Pulsa el botón que aparece en el coche!
MES_TUTORIAL.BIN,0,string_pack,1,@[pad:Rr] @[pad:Slash] @[pad:Ru] 打撃    @[pad:Rd] 投げ,@[pad:Rr] @[pad:Slash] @[pad:Ru] STRIKE    @[pad:Rd] THROW,@[pad:Rr] @[pad:Slash] @[pad:Ru] FRAPPE    @[pad:Rd] PROJECTION,@[pad:Rr] @[pad:Slash] @[pad:Ru] ANGRIFF    @[pad:Rd] WURF,@[pad:Rr] @[pad:Slash] @[pad:Ru] COLPO    @[pad:Rd] PROIEZIONE,@[pad:Rr] @[pad:Slash] @[pad:Ru] GOLPE    @[pad:Rd] DERRIBAR
MES_TUTORIAL.BIN,0,string_pack,2,@[pad:Rl] ガード    @[pad:Rd] 投げ抜け,@[pad:Rl] GUARD    @[pad:Rd] EVADE,@[pad:Rl] GARDE    @[pad:Rd] ESQUIVER PROJECTION,@[pad:Rl] ABWEHR    @[pad:Rd] WURFABWEHR,@[pad:Rl] GUARDIA    @[pad:Rd] SFUGGI A PROIEZIONE,@[pad:Rl] GUARDIA    @[pad:Rd] ESCAPAR DE DERRIBO
MES_TUTORIAL.BIN,0,string_pack,3,@[pad:Rr] @[pad:Slash] @[pad:Ru] 打撃    @[pad:Rd] 投げ,@[pad:Rr] @[pad:Slash] @[pad:Ru] STRIKE    @[pad:Rd] THROW,@[pad:Rr] @[pad:Slash] @[pad:Ru] FRAPPE    @[pad:Rd] PROJECTION,@[pad:Rr] @[pad:Slash] @[pad:Ru] ANGRIFF    @[pad:Rd] WURF,@[pad:Rr] @[pad:Slash] @[pad:Ru] COLPO    @[pad:Rd] PROIEZIONE,@[pad:Rr] @[pad:Slash] @[pad:Ru] GOLPE    @[pad:Rd] DERRIBO
MES_TUTORIAL.BIN,0,string_pack,4,@[pad:Rl] ガード    @[pad:Rd] 投げ抜け,@[pad:Rl] GUARD    @[pad:Rd] EVADE,@[pad:Rl] GARDE    @[pad:Rd] ESQUIVER PROJECTION,@[pad:Rl] ABWEHR    @[pad:Rd] WURFABWEHR,@[pad:Rl] GUARDIA    @[pad:Rd] SFUGGI A PROIEZIONE,@[pad:Rl] GUARDIA    @[pad:Rd] ESCAPAR DE DERRIBO
MES_TUTORIAL.BIN,0,string_pack,5,@[pad:Rl] つかまる,@[pad:Rl] GRAB,@[pad:Rl] SAISIR,@[pad:Rl] GREIFEN,@[pad:Rl] AFFERRA,@[pad:Rl] AGARRAR
MES_TUTORIAL.BIN,0,string_pack,6,@[pad:Llr]    @[color:green]左右@[color:resume]で狙いをつけて @[pad:Ru] で攻撃,"Move    @[pad:Llr]    @[color:green]left or right@[color:resume] to target an area, then @[pad:Ru] to attack",Déplacez    @[pad:Llr]    @[color:green]à gauche ou à droite@[color:resume] afin de viser une zone puis appuyez sur @[pad:Ru] pour attaquer.,"Lenke mit    @[pad:Llr]    nach @[color:green]links oder rechts@[color:resume], um zu zielen, und drücke @[pad:Ru] zum Angreifen.","Muovi    @[pad:Llr]    a @[color:green]destra o sinistra@[color:resume] per puntare un'area, poi attacca con @[pad:Ru].",Mueve    @[pad:Llr]    @[color:green]a la izquierda o la derecha@[color:resume] para elegir una zona y pulsa @[pad:Ru] para atacar.
MES_TUTORIAL.BIN,0,string_pack,7,@[pad:R1]長押し でパワーブロー    相手を @[color:green]発電機@[color:resume] にふっとばせ,Hold @[pad:R1] for a Power Blow. Knock your opponent into a @[color:green]generator@[color:resume].,Maintenez @[pad:R1] pour effectuer un Coup puissant. Envoyez votre adversaire dans un @[color:green]générateur@[color:resume]. ,Halte @[pad:R1] für einen Power-Angriff. Wirf deinen Gegner gegen einen @[color:green]Generator@[color:resume]. ,Tieni premuto @[pad:R1] per un Colpo potente. Sbatti l'avversario contro un @[color:green]generatore@[color:resume]. ,Mantén @[pad:R1] para hacer un golpe cargado. Manda a tu rival a un @[color:green]generador@[color:resume].
MES_TUTORIAL.BIN,0,string_pack,8,@[pad:R1]長押し でパワーブロー    相手を @[color:green]鉄骨@[color:resume] にふっとばせ,Hold @[pad:R1] for a Power Blow. Knock your opponent into the @[color:green]steel beams@[color:resume].,Maintenez @[pad:R1] pour effectuer un Coup puissant. Envoyez votre adversaire dans la @[color:green]charpente métallique@[color:resume]. ,Halte @[pad:R1] für einen Power-Angriff. Wirf deinen Gegner gegen die @[color:green]Stahlträger@[color:resume]. ,Tieni premuto @[pad:R1] per un Colpo potente. Sbatti l'avversario contro le @[color:green]travi d'acciaio@[color:resume]. ,Mantén @[pad:R1] para hacer un golpe cargado. Manda a tu rival a las @[color:green]vigas@[color:resume].
MES_TUTORIAL.BIN,0,string_pack,9,@[pad:R1]長押し でパワーブロー    @[color:green]スペシャルパワーブロー@[color:resume] を引き起こせ,Hold @[pad:R1] for a Power Blow. Trigger a @[color:green]Special Danger Zone@[color:resume].,Maintenez @[pad:R1] pour effectuer un Coup puissant. Déclenche une @[color:green]Zone dangereuse spéciale@[color:resume].,Halte @[pad:R1] für einen Power-Angriff. Löse eine @[color:green]besondere Gefahrenzone@[color:resume] aus.,Premi @[pad:R1] per un Colpo potente. Attiva una @[color:green]Zona pericolosa speciale@[color:resume].,Mantén @[pad:R1] para hacer un golpe cargado. Activa una @[color:green]zona de peligro especial@[color:resume].
