MAN_COM_P1	83020188
CHAR_NUM_P1	83020189
CHAR_COL_P1	8302018a
WIN_POINT_P1	8302018b*
XPOS_P1	8302018c
YPOS_P1	83020190
ZPOS_P1	83020194
ANIME_SPD_P1	83020198
DIRECT_P1	8302019c
ATK_DIR_P1	830201a0
BODY_DIR_P1	830201a4
CHAR_DISP_P1	830201a8
BYTE	830201a9
BYTE	830201aa
BYTE	830201ab
HIT_POINT_P1	830201ac*
Damage_P1	830201ae
WORD	830201b0
Last_Damage_P1	830201b2
Damage_Disp_P1	830201b4
WORD	830201b6
ANIME_P1	830201b8
ACT_CODE_P1	830201ba*
ACT_FLAG_P1	830201bc
ACT_REQ_P1	830201be
ACT_STATE_P1	830201bf*
POSE_STA_P1	830201c0
DOWN_STA_P1	830201c1
UpsideDownHead_P1	830201c2
BYTE	830201c3
BYTE	830201c4
BYTE	830201c5
LeadingFoot_P1	830201c6
BYTE	830201c7
BYTE	830201c8
BYTE	830201c9
DAT	830201ca_P1
THROW_FLAG_P1	830201cb
BYTE	830201cc
GUARD_STA_P1	830201cd
JUMP_STA_P1	830201ce
JUMP_HIGH_P1	830201cf
BYTE	830201d0
BYTE	830201d1
BYTE	830201d2
BYTE	830201d3
BYTE	830201d4
BYTE	830201d5
BYTE	830201d6
BYTE	830201d7
ATK_HEIGHT_P1	830201d8
WORD	830201da
BYTE	830201dc
BYTE	830201dd
BYTE	830201de
BYTE	830201df
BYTE	830201e0
UKEMI_FLAG_P1
BYTE	830201e2
HIT_GRASP???_P1	830201E3
BYTE	830201e4
BYTE	830201e5_P1
BYTE	830201e6
BYTE	830201e7
COMBO_FLAG_P1	830201e8
COMBO_COUNTER_P1	830201e9
COMBO_START_P1	830201ea
BYTE	830201eb
BYTE	830201ec
BYTE	830201ed
BYTE	830201ee
BYTE	830201ef
BYTE	830201f0
BYTE	830201f1
BYTE	830201f2
BYTE	830201f3
DWORD	830201f4
DWORD	830201f8
DWORD	830201fc
FLOAT	83020200
FLOAT	83020204
FLOAT	83020208
FLOAT	8302020c
FLOAT	83020210
FLOAT	83020214
FLOAT	83020218
FLOAT	8302021c
DAT	83020220
MAN_COM_P2	83020224
CHAR_NUM_P2	83020225
CHAR_COL_P2	83020226
