MOVE ID 5 and 6,Action ID,anim id,file id,manual description ,,MOVE ID 5 and 6,Action ID,anim id,file id,manual description ,,MOVE ID 5 and 6,Action ID,anim id,file id,manual description 
C0 5D,HC_HIT_F_HEAD_C,2D 21,2D 01,ANIM: take weak hit (high?),,30 60,HC_SP_STAG_LKB_F,41 20,41 00,"ANIM: bt take hit, short jump/fly to OG26 (basic juggle?)",,A0 62,HC_BND_FALL_RB,8E 22,8E 02,ANIM: finish fall (A26) -> tall-ish bounce back -> G26
C1 5D,HC_HIT_F_HEAD_2,3D 21,3D 01,ANIM: take moderate high hit,,31 60,HC_SP_STAG_LKB2,92 22,92 02,ANIM: super heavy front low hit -> jump and fall back -> G26 idle start,,A1 62,HC_FALL_ROLL_F,BC 22,BC 02,ANIM: A84-ish -> bounce-roll off a cliff?
C2 5D,HC_HIT_F_CHIN_C,34 21,34 01,ANIM: take weak high hit from right and turn 45deg,,32 60,HC_SP_STAG_LKB2_F,92 22,92 02,ANIM: super heavy front low hit -> jump and fall back -> G26 idle start,,A2 62,HC_FALL_ROLL_B,BD 22,BD 02,ANIM: A24-ish -> bounce-roll off a cliff?
C3 5D,HC_HIT_F_BODY_C,2E 21,2E 01,ANIM: take weak hit (mid? low?),,33 60,HC_SP_STAG_LKB3,5E 20,5E 00,ANIM: fall down + small bounce & decent slide back -> OG24,,A3 62,HC_FALL_ROLL_RF,BE 22,BE 02,ANIM: A26-ish -> bounce-roll off a cliff?
C4 5D,HC_HIT_F_BODY_B,2E 21,2E 01,ANIM: take weak hit (mid? low?),,34 60,HC_SP_STAG_LKB3_F,5F 20,5F 00,ANIM: strong low hit from left -> fall/bounce towards camera -> G88,,A4 62,HC_FALL_ROLL_RB,BF 22,BF 02,ANIM: A86-ish -> bounce-roll off a cliff?
C5 5D,HC_HIT_F_FACE_R,32 21,32 01,ANIM: take weak high hit from right,,35 60,HC_SP_HI_K,27 20,27 00,ANIM: take hit and do massive step back (critical reversal?),,A5 62,HC_FALL_ROLL_BD_UP,C0 22,C0 02,ANIM: G82-ish -> roll to left -> G82 (ground poke?)
C6 5D,HC_HIT_F_FACE_L,33 21,33 01,ANIM: take weak high hit from left,,36 60,HC_SP_HI_K_F,27 20,27 00,ANIM: take hit and do massive step back (critical reversal?),,A6 62,HC_FALL_ROLL_BD_DW,C1 22,C1 02,ANIM: G22-ish -> roll to left -> G22 (ground poke?)
C7 5D,HC_HIT_F_FOOT_R,30 21,30 01,ANIM: take weak low hit from right,,37 60,HC_SP_MID_K,0C 20,0C 00,ANIM: idle -> juggle (G84-ish) -> prepare for back wall impact?..,,A7 62,HC_FALL_ROLL_LOOP,0C 23,0C 03,ANIM: very long roll back (down stairs?)
C8 5D,HC_HIT_F_FOOT_L,31 21,31 01,ANIM: take weak low hit from left,,38 60,HC_SP_MID_K_F,0C 20,0C 00,ANIM: idle -> juggle (G84-ish) -> prepare for back wall impact?..,,A8 62,HC_FALL_ROLL_V,E1 22,E1 02,ANIM: continue being blown back away -> roll -> ...
C9 5D,HC_HIT_B_HEAD_C,91 22,91 02,ANIM: take light bt hit?,,39 60,HC_SP_KNEE_S,F9 20,F9 00,ANIM: idle -> short jump up + back -> G26,,A9 62,HC_FALL_ROLL_V_LOOP,E2 22,E2 02,ANIM: roll back loop
CA 5D,HC_HIT_B_HEAD_2,A6 22,A6 02,ANIM: opponent light bt hit (no turn around),,3A 60,HC_SP_KNEE_S_F,F9 20,F9 00,ANIM: idle -> short jump up + back -> G26,,AA 62,HC_FALL_ROLL_V_BD_UP,E3 22,E3 02,ANIM: finish rolling back -> G26
CB 5D,HC_HIT_B_HIPS_C,35 21,35 01,ANIM: take weak bt hit (no turn around),,3B 60,HC_SP_HI_K_R,27 20,27 00,ANIM: take hit and do massive step back (critical reversal?),,AB 62,HC_FALL_ROLL_V_BD_DW,E4 22,E4 02,ANIM: finish rolling back -> G84
