
0x0  "THE WHITE STORM (UPPER)"
0x1  "THE AERIAL GARDEN (NIGHT UPPER)"
0x2  "THE DANGER ZONE 2"
0x3  "THE WHITE STORM (LOWER)"
0x4  "THE GREAT OPERA (BURNING UPPER)"
0x5  "THE DEATH VALLEY (UPPER)"
0x6  "EDITOR STAGE"
0x7  "UNDULATION CHECK"
0x8  "THE CRIMSON (UPPER)"
0x9  "THE DANGER ZONE"
0xA  "THE GREAT OPERA (UPPER)"
0xB  "THE GREAT OPERA (LOWER)"
0xC  "THE DEMON'S CHURCH (UPPER)"
0xD  "THE DEMON'S CHURCH (LOWER)"
0xE  "AMOEBA"
0xF  "THE AERIAL GARDEN (DAY UPPER)"
0x10  "THE AERIAL GARDEN (DAY LOWER)"
0x11  "ELEVATOR"
0x12  "THE MIYAMA"
0x13  "THE KOKU AN"
0x14  "THE SPIRAL"
0x15  "THE DRAGON HILLS (UPPER)"
0x16  "THE MIYAMA (DUMMY)"
0x17  "BASS POSTER"
0x18  "THE BIO LAB"
0x19  "DESSERT OF DEATH"
0x1A  "THE AERIAL GARDEN (NIGHT LOWER)"
0x1B  "THE MIYAMA (WINTER)"
0x1C  "GRAND CANYON"
0x1D  "TINA'S FASHION SHOW"
0x1E  "THE DRAGON HILLS (LOWER)"
0x1F  "THE PRAIRIE"
0x20  "TRAILER TRUCK"
0x21  "THE CRIMSON (LOWER)"
0x22  "THE AERIAL GARDEN (EVENING UPPER)"
0x23  "THE AERIAL GARDEN (EVENING LOWER)"
0x24  "THE D OCTAGON"
0x25  "THE PANCRATIUM"
0x26  "THE IRON HELL (EVENING)"
0x27  "THE BLANCA"
0x28  "THE L'S CASTLE"
0x29  "THE BURAI ZEN-IN (UPPER)"
0x2A  "THE BURAI ZEN-IN (LOWER)"
0x2B  "BAMBOO THICHET"
0x2C  "THE IRON HELL (NIGHT)"
0x2D  "CHOPPING BEER BOTTLE"
0x32  "TEST"
0x33  "WALL TEST"
0x34  "LORELEI"
0x35  "DOATEC HK (UPPER)"
0x36  "LOST WORLD (UPPER)"
0x37  "ICE CAVE"
0x38  "BEACH (EVENING)"
0x39  "AZUCHI (COURTYARD)"
0x3A  "FOREST"
0x3B  "TAG : IRON HELL"
0x3C  "DOATEC HK (LOWER)"
0x3D  "TAG : DANGER ZONE"
0x3E  "TAG : PANCRATIUM"
0x3F  "AZUCHI (UPPER)"
0x40  "LOST WORLD (LOWER)"
0x41  "TAG : X OCTAGON"
0x42  "LORELEI (INDOOR)"
0x43  "AZUCHI (LOWER)"
0x44  "SNOW"
0x45  "TEST2"
0x46  "TAO"
0x47  "BEACH (DAY)"
0x48  "TAG : AQUA PALACE"
0x49  "GENRA'S RAID"
0x4D  "TGS movie"

