FF	RANDOM
0A	EXPERIMENTAL PLAYGROUND
0B (CRASH)
0C	Biolab Core
0D	DOATEC GREAT HALL
0E	SEASIDE MARKET (TOP)
0F	NINJA HIDEOUT (TOP)
10	TEMPLE ON THE MOUNTAIN
11	GAMBLER'S PARADISE
12	(CRASH)
13	NASSAU STATION
14	DWA COLISEUM
15	KYOTO IN BLOOM (DAY)
16	SEASIDE MARKET (BOTTOM)
17	TATAMI
18	SAVANNAH SAFARI
19	(CRASH)
1A	WATERFALL VALLEY
1B	(CRASH)
1C	(UNUSED) DOA2U Great Opera
1D	NINJA HIDEOUT (BOTTOM)
1E	(UNUSED) 
1F	KYOTO IN BLOOM (NIGHT)
20	(UNUSED) Black Void???
21	(UNUSED) Black Void???
22	(UNUSED) Black Void???
23	(UNUSED) TriTower Inside????
24	CRASH CLUB
25	TRITOWER HELIPORT
26	(UNUSED) TriTower Unfinished???
27	(UNUSED) Black Void???
28	
